id,name,type,category,new
population_total_val,Total Population,neighborhood,Neighborhood Demographics,
population_under_18_val,Children (Under 18),neighborhood,Neighborhood Demographics,
population_under_5_val,Young Child Population (Under 5),neighborhood,Neighborhood Demographics,
total_neighborhood_poverty_perc,Poverty Rate,neighborhood,Neighborhood Demographics,
children_in_poverty_perc,Percentage of Children in Poverty,neighborhood,Neighborhood Demographics,
no_dip_18_perc,Percentage of Population Between 18 and 24 Without a Diploma,neighborhood,Neighborhood Demographics,
no_dip_25_perc,Percentage of Population Over 25 Without a Diploma,neighborhood,Neighborhood Demographics,
youth_ready_to_work_perc,Youth Employment Rate (Ages 16 to 24),neighborhood,Neighborhood Demographics,
median_family_income_val,Average Median Income,neighborhood,Neighborhood Demographics,
homeownership_perc,families_under_5_perc,neighborhood,Neighborhood Demographics,
single_mother_families_perc,Percentage of Single Mother Families,neighborhood,Child Health & Wellbeing,
juv_arrest_val,Juevenile Arrests,neighborhood,Child Health & Wellbeing,
farms_perc,FARMs,neighborhood,Child Health & Wellbeing,
Percentage of Housing Units Owner Occupied,,neighborhood,Neighborhood Assets,
