neighborhood,black_18,black_under_18,county,hispanic_18,hispanic_under_18,other_18,other_under_18,population_black_total,population_hisp_total,population_other_total,population_total,population_under_18,population_under_3,population_under_5,population_white_total,poverty_under_5,state,white_18,white_under_18,children_in_poverty_ratio,female_householder_no_husband_ratio,homeownership_ratio,median_family_income_ratio,no_hs_degree_18_24_ratio,no_hs_degree_25_plus_ratio,single_mother_families_perc_ratio,total_neighborhood_poverty_ratio,work_ratio,youth_ready_to_work_ratio,black_18_margin,black_under_18_margin,hispanic_18_margin,hispanic_under_18_margin,other_18_margin,other_under_18_margin,population_black_total_margin,population_hisp_total_margin,population_other_total_margin,population_total_margin,population_under_18_margin,population_under_3_margin,population_under_5_margin,population_white_total_margin,poverty_under_5_margin,white_18_margin,white_under_18_margin
1,2010.38,58.0,4.973,1847.656,238.866,120.136,120.136,2029.38,2086.522,1589.415,17306.291,1243.628,382.083,662.814,11600.974,0.0,54.703,10774.348,826.626,0.0578975098281,0.0357436769861,0.376700785488,145862.834369,0.0,0.0449991691319,0.0357436769861,0.0560695461483,0.0688884052578,0.980995113934,692.124848492,577.324721279,738.923145058,579.051847211,933.637547162,933.637547162,393.654635563,459.027638105,425.145296004,738.604240703,214.513930261,108.239579494,142.444900204,729.539353681,298.811744163,830.232278464,396.305396929
2,14550.491,2994.147,10.716,8927.594,2761.658,328.7,328.7,17176.161,11689.252,2652.359,45598.631,7150.43,1536.778,2601.118,14080.859,729.759,117.876,13014.934,1065.925,0.239154311091,0.48082117134,0.319777079184,73325.8969052,0.197810674919,0.213476991873,0.48082117134,0.168508905966,0.0915738401927,0.869351652202,1321.84961876,549.50354043,1421.91536099,652.456621488,1291.37570692,1291.37570692,1195.01546209,1263.38578863,660.964567062,1665.10825566,704.293370141,296.547352013,392.261838294,875.059712425,290.008161647,1099.86261944,666.309448624
3,5450.809,551.356,2.799,1045.002,354.621,6.938,6.938,5864.994,1399.623,770.753,12455.658,1103.201,389.115,541.223,4420.288,96.881,30.789,4230.002,190.286,0.190504905758,0.330378432407,0.457092777502,112293.969814,0.0288845447821,0.14279622856,0.330378432407,0.174652119571,0.0831038359179,0.830835119295,838.659969997,256.139755386,520.28085643,338.17373287,560.815221396,560.815221396,800.008530101,395.386767564,276.833422372,789.383635806,192.964963392,86.2383952251,104.182646458,472.510972119,135.938155762,566.19414191,311.944205845
4,555.0,0.0,4.0,888.0,179.0,181.0,181.0,525.0,1067.0,1521.0,19223.0,2028.0,637.0,920.0,16110.0,0.0,44.0,14442.0,1668.0,0.00952858575727,0.102808425276,0.547497752472,215376.306867,0.00707442888725,0.0196926032661,0.102808425276,0.106293004587,0.0341452045216,0.96369047619,578.640648417,537.401153702,619.119536116,499.550798218,955.755198783,955.755198783,212.030658161,365.729408169,411.221351586,1307.01568468,443.509864603,236.721355184,273.298371748,1238.79215367,268.700576851,1308.82466358,422.393181763
5,1292.714,47.524,2.587,1182.248,24.805,35.958,35.958,1274.28,1207.053,2600.084,15705.888,287.339,103.136,161.725,10624.471,26.74,28.457,10445.419,179.052,0.106815158645,0.0419264574895,0.301221552416,175968.091004,0.00200835165625,0.0295134993445,0.0419264574895,0.276292167906,0.0146806486227,0.943022979908,473.348047709,389.669567799,505.673473241,397.788055849,668.965655408,668.965655408,263.955568475,312.202376935,476.387626182,1440.14131967,117.167468015,110.992078997,154.130256345,1132.65959531,176.390401896,1186.0130193,351.723077305
6,1701.884,162.321,5.539,1424.764,169.862,58.348,58.348,1795.699,1594.626,2172.635,19407.726,759.384,281.756,373.658,13844.766,8.26,60.929,13475.913,368.853,0.181558327963,0.225129675071,0.330389700157,159216.164907,0.00566192288269,0.0424741184043,0.225129675071,0.129397476848,0.0404274917156,0.940595402581,606.167207092,520.4657951,629.886615362,533.901569841,911.148008087,911.148008087,307.530539058,334.224867317,485.130776876,787.22794439,180.495164426,176.446023174,226.414165723,668.314749945,286.95382099,829.651290064,491.606202271
7,4158.958,823.348,5.378,2159.243,442.756,164.781,164.781,4967.486,2601.999,1464.996,17362.052,1607.419,428.403,663.087,8327.571,98.419,59.158,8151.037,176.534,0.191478954115,0.267008590792,0.351855865033,108134.235914,0.135135187125,0.134028235536,0.267008590792,0.121338435016,0.0487640119919,0.894406104252,627.285011419,424.980653157,768.669390509,527.84393234,907.204911563,907.204911563,461.386963397,558.778502627,427.749224496,773.305787647,308.79474569,175.479867008,218.302936835,524.989789883,251.424546699,737.599527937,518.110783648
8,5058.172,1046.664,5.96,1633.933,191.136,146.947,146.947,5993.12,1825.069,2005.406,17119.506,1501.023,266.097,594.791,7295.911,283.581,65.56,7179.635,116.276,0.37476850658,0.471527161027,0.262150863813,113947.273782,0.11100919245,0.164843868988,0.471527161027,0.227109739706,0.0382078234802,0.819417097684,808.265696562,530.768317478,683.346652575,584.996884993,1018.9456167,1018.9456167,603.706593339,353.187332918,450.80186679,788.322311462,300.841375967,114.516045273,220.088514764,469.702401383,314.915168391,737.85406407,569.041539784
9,5432.0,997.0,4.0,598.0,31.0,155.0,155.0,6353.0,629.0,1071.0,12122.0,1236.0,307.0,364.0,4069.0,171.0,44.0,4016.0,53.0,0.44237012987,0.704339051463,0.416164383562,81748.4665314,0.08125,0.0708580790498,0.704339051463,0.185009566592,0.0770628311885,0.942998760843,809.441165249,413.003631945,573.641874343,522.481578623,910.712907562,910.712907562,699.999285714,236.807939056,461.930730738,788.012055745,361.566038228,171.991278849,204.743742273,393.640699115,222.117086241,640.360835779,505.083161469
10,1332.392,220.176,3.542,791.56,333.924,231.498,231.498,1543.568,1125.484,924.162,14486.22,3247.942,481.276,912.988,10893.006,41.0,38.962,8430.662,2462.344,0.0227368592173,0.0688925730022,0.743129448456,197916.82704,0.0595184419469,0.0424799011608,0.0688925730022,0.0420193412304,0.0673904776241,0.991423413224,537.012823478,436.581062897,633.44243244,420.589709356,712.249164155,712.249164155,311.505614877,473.659805768,345.322381348,553.219158613,235.672935026,113.78319658,158.966419158,488.492574617,210.984454878,568.228305258,290.272994679
