neighborhood,black_18,black_under_18,county,hispanic_18,hispanic_under_18,other_18,other_under_18,population_black_total,population_hisp_total,population_other_total,population_total,population_under_18,population_under_3,population_under_5,population_white_total,poverty_under_5,state,white_18,white_under_18,children_in_poverty_ratio,female_householder_no_husband_ratio,homeownership_ratio,median_family_income_ratio,no_hs_degree_18_24_ratio,no_hs_degree_25_plus_ratio,single_mother_families_perc_ratio,total_neighborhood_poverty_ratio,work_ratio,youth_ready_to_work_ratio,black_18_margin,black_under_18_margin,hispanic_18_margin,hispanic_under_18_margin,other_18_margin,other_under_18_margin,population_black_total_margin,population_hisp_total_margin,population_other_total_margin,population_total_margin,population_under_18_margin,population_under_3_margin,population_under_5_margin,population_white_total_margin,poverty_under_5_margin,white_18_margin,white_under_18_margin
1,2010.38,58,4.973,1847.656,238.866,120.136,120.136,2029.38,2086.522,1589.415,17306.291,1243.628,382.083,662.814,11600.974,0,54.703,10774.348,826.626,0.05789751,0.035743677,0.376700785,145862.8344,0,0.044999169,0.035743677,0.056069546,0.068888405,0.980995114,692.1248485,577.3247213,738.9231451,579.0518472,933.6375472,933.6375472,393.6546356,459.0276381,425.145296,738.6042407,214.5139303,108.2395795,142.4449002,729.5393537,298.8117442,830.2322785,396.3053969
2,14550.491,2994.147,10.716,8927.594,2761.658,328.7,328.7,17176.161,11689.252,2652.359,45598.631,7150.43,1536.778,2601.118,14080.859,729.759,117.876,13014.934,1065.925,0.239154311,0.480821171,0.319777079,73325.89691,0.197810675,0.213476992,0.480821171,0.168508906,0.09157384,0.869351652,1321.849619,549.5035404,1421.915361,652.4566215,1291.375707,1291.375707,1195.015462,1263.385789,660.9645671,1665.108256,704.2933701,296.547352,392.2618383,875.0597124,290.0081616,1099.862619,666.3094486
3,5450.809,551.356,2.799,1045.002,354.621,6.938,6.938,5864.994,1399.623,770.753,12455.658,1103.201,389.115,541.223,4420.288,96.881,30.789,4230.002,190.286,0.190504906,0.330378432,0.457092778,112293.9698,0.028884545,0.142796229,0.330378432,0.17465212,0.083103836,0.830835119,838.65997,256.1397554,520.2808564,338.1737329,560.8152214,560.8152214,800.0085301,395.3867676,276.8334224,789.3836358,192.9649634,86.23839523,104.1826465,472.5109721,135.9381558,566.1941419,311.9442058
4,555,0,4,888,179,181,181,525,1067,1521,19223,2028,637,920,16110,0,44,14442,1668,0.009528586,0.102808425,0.547497752,215376.3069,0.007074429,0.019692603,0.102808425,0.106293005,0.034145205,0.963690476,578.6406484,537.4011537,619.1195361,499.5507982,955.7551988,955.7551988,212.0306582,365.7294082,411.2213516,1307.015685,443.5098646,236.7213552,273.2983717,1238.792154,268.7005769,1308.824664,422.3931818
5,1292.714,47.524,2.587,1182.248,24.805,35.958,35.958,1274.28,1207.053,2600.084,15705.888,287.339,103.136,161.725,10624.471,26.74,28.457,10445.419,179.052,0.106815159,0.041926457,0.301221552,175968.091,0.002008352,0.029513499,0.041926457,0.276292168,0.014680649,0.94302298,473.3480477,389.6695678,505.6734732,397.7880558,668.9656554,668.9656554,263.9555685,312.2023769,476.3876262,1440.14132,117.167468,110.992079,154.1302563,1132.659595,176.3904019,1186.013019,351.7230773
6,1701.884,162.321,5.539,1424.764,169.862,58.348,58.348,1795.699,1594.626,2172.635,19407.726,759.384,281.756,373.658,13844.766,8.26,60.929,13475.913,368.853,0.181558328,0.225129675,0.3303897,159216.1649,0.005661923,0.042474118,0.225129675,0.129397477,0.040427492,0.940595403,606.1672071,520.4657951,629.8866154,533.9015698,911.1480081,911.1480081,307.5305391,334.2248673,485.1307769,787.2279444,180.4951644,176.4460232,226.4141657,668.3147499,286.953821,829.6512901,491.6062023
7,4158.958,823.348,5.378,2159.243,442.756,164.781,164.781,4967.486,2601.999,1464.996,17362.052,1607.419,428.403,663.087,8327.571,98.419,59.158,8151.037,176.534,0.191478954,0.267008591,0.351855865,108134.2359,0.135135187,0.134028236,0.267008591,0.121338435,0.048764012,0.894406104,627.2850114,424.9806532,768.6693905,527.8439323,907.2049116,907.2049116,461.3869634,558.7785026,427.7492245,773.3057876,308.7947457,175.479867,218.3029368,524.9897899,251.4245467,737.5995279,518.1107836
8,5058.172,1046.664,5.96,1633.933,191.136,146.947,146.947,5993.12,1825.069,2005.406,17119.506,1501.023,266.097,594.791,7295.911,283.581,65.56,7179.635,116.276,0.374768507,0.471527161,0.262150864,113947.2738,0.111009192,0.164843869,0.471527161,0.22710974,0.038207823,0.819417098,808.2656966,530.7683175,683.3466526,584.996885,1018.945617,1018.945617,603.7065933,353.1873329,450.8018668,788.3223115,300.841376,114.5160453,220.0885148,469.7024014,314.9151684,737.8540641,569.0415398
9,5432,997,4,598,31,155,155,6353,629,1071,12122,1236,307,364,4069,171,44,4016,53,0.44237013,0.704339051,0.416164384,81748.46653,0.08125,0.070858079,0.704339051,0.185009567,0.077062831,0.942998761,809.4411652,413.0036319,573.6418743,522.4815786,910.7129076,910.7129076,699.9992857,236.8079391,461.9307307,788.0120557,361.5660382,171.9912788,204.7437423,393.6406991,222.1170862,640.3608358,505.0831615
10,1332.392,220.176,3.542,791.56,333.924,231.498,231.498,1543.568,1125.484,924.162,14486.22,3247.942,481.276,912.988,10893.006,41,38.962,8430.662,2462.344,0.022736859,0.068892573,0.743129448,197916.827,0.059518442,0.042479901,0.068892573,0.042019341,0.067390478,0.991423413,537.0128235,436.5810629,633.4424324,420.5897094,712.2491642,712.2491642,311.5056149,473.6598058,345.3223813,553.2191586,235.672935,113.7831966,158.9664192,488.4925746,210.9844549,568.2283053,290.2729947
11,325.488,50.022,1.793,494.514,116.754,481.169,481.169,375.51,611.268,1408.943,11411.926,2243.947,350.31,674.152,9016.205,0,19.723,7420.203,1596.002,0.018167846,0.105426208,0.74013954,173314.2227,0.022249267,0.019388214,0.105426208,0.058645181,0.0409862,0.915634468,300.8591188,270.9703005,310.3686998,261.5381436,507.3383575,507.3383575,130.7337202,167.1123252,315.7572815,505.6787827,262.3833892,117.0711409,143.2796127,505.1133939,153.5572077,549.4175119,216.1482402
12,612.34,28.443,2.355,926.432,127.773,242.32,242.32,621.25,1054.205,1372.541,12097.168,1337.805,315.079,569.577,9049.172,17,25.905,8109.903,939.269,0.049219759,0.046381091,0.367416391,175176.149,0.048615373,0.017505909,0.046381091,0.092731916,0.029136286,0.942023915,312.0201047,278.9656617,438.1509232,307.1681172,520.157273,520.157273,138.8044625,312.4483626,387.3785091,537.7432133,208.2850202,99.4507813,140.9175949,555.1699883,152.2791934,602.6778263,234.5353841
13,622.885,134,3.455,904.63,86,302.24,302.24,745.965,990.63,1072.69,15290.165,2266.875,412.295,631.715,12480.88,0,38.005,10736.245,1744.635,0.004704798,0.095659396,0.706094402,207517.5644,0.00957348,0.012049587,0.095659396,0.07666235,0.030350682,0.825903406,530.6393384,393.9850314,550.6277591,446.261364,674.2767851,674.2767851,355.0144941,322.5549939,377.9757713,846.5211705,233.3977209,117.686594,137.7151757,883.3464909,240.5967607,908.9016998,214.0123288
14,670.421,26,4.176,1403.004,51.92,510.78,510.78,683.341,1454.924,2219.052,15471.798,1128.54,248.998,340.01,11114.481,0,45.936,10574.641,539.84,0.011170939,0.114014652,0.479249823,141157.6362,0.062867377,0.04282903,0.114014652,0.082553094,0.052451778,0.957509511,577.1868345,508.6296393,639.9730224,501.5543328,832.6662607,832.6662607,271.9989162,397.5031077,675.9666282,697.0572347,227.40798,105.5284371,176.0090365,662.7008612,257.8178184,755.3345517,362.4332401
15,723.366,49.359,3.676,877.326,214.389,171.993,171.993,700.258,1091.715,1281.36,14439.424,1390.294,415.003,599.447,11366.091,0,40.436,10411.538,954.553,0,0.075264692,0.398315891,191425.4034,0.01610128,0.020096129,0.075264692,0.088167626,0.033445577,1,552.410708,446.762957,511.9147733,417.8063512,712.9390049,712.9390049,319.3160223,295.7948411,328.9007292,686.7348751,182.7623874,121.3256978,142.6153249,547.8612579,235.8034726,633.1450114,317.3651644
16,2521,645,1,219,87,35,35,3145,306,164,4432,939,164,265,817,0,11,645,172,0,0.051344743,0.876179245,157540,0.287878788,0.04491654,0.051344743,0.038043478,0.088657751,0.737373737,433.9204996,207.6680043,293.4058622,203.8774141,363.0853894,363.0853894,382,211,172.4412944,327,183,76,100.0049999,212,134.3502884,242.0619755,116.8332145
